turk_uydu,cop_parca,cop_kaynak,mesafe_t0_km,hiz_t0_km_s,tahmin_t24_km,gercek_t24_km,hata_km,hiz_t24_km_s,delta_mesafe_km,cop_inclination_deg,cop_eccentricity,cop_sma_km,cop_perigee_km,cop_apogee_km,roket_govdesi,malzeme,yanma_orani,yere_dusme_riski,orbital_risk_skoru,bilesik_risk_skoru,cop_norad_id,discos_object_class,discos_mission,discos_mass_kg,discos_shape,risk_sinifi,trend,hesap_utc
TURKSAT 3A,TURKSAT 4A,aktif_uydular,60.33,0.004,780.45,65.39,-715.06,0.004,5.06,0.0641,0.0004,42165.6571,35777.1668,35812.1474,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,1.0,0.8065,39522,Payload,Civil Communications,4850.0,Box + 2 Pan,KRITIK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 4A,TURKSAT 4A,aktif_uydular,0.0,0.0,780.45,0.0,-780.45,0.0,0.0,0.0641,0.0004,42165.6571,35777.1668,35812.1474,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,1.0,0.8065,39522,Payload,Civil Communications,4850.0,Box + 2 Pan,KRITIK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 5B,TURKSAT 4A,aktif_uydular,37.8,0.001,780.45,40.06,-740.39,0.002,2.26,0.0641,0.0004,42165.6571,35777.1668,35812.1474,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,1.0,0.8065,39522,Payload,Civil Communications,4850.0,Box + 2 Pan,KRITIK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 6A,TURKSAT 4A,aktif_uydular,14.62,0.003,780.45,21.64,-758.81,0.003,7.02,0.0641,0.0004,42165.6571,35777.1668,35812.1474,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,1.0,0.8065,39522,Payload,Civil Communications,4850.0,Box + 2 Pan,KRITIK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 3A,TURKSAT 5B,aktif_uydular,26.11,0.006,823.28,29.03,-794.25,0.006,2.92,0.078,0.0005,42164.7154,35771.4229,35816.0079,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,1.0,0.8065,50212,Payload,Commercial Communications,4500.0,Box + 2 Pan,KRITIK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 4A,TURKSAT 5B,aktif_uydular,37.8,0.001,823.28,40.06,-783.22,0.002,2.26,0.078,0.0005,42164.7154,35771.4229,35816.0079,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,1.0,0.8065,50212,Payload,Commercial Communications,4500.0,Box + 2 Pan,KRITIK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 5B,TURKSAT 5B,aktif_uydular,0.0,0.0,823.28,0.0,-823.28,0.0,0.0,0.078,0.0005,42164.7154,35771.4229,35816.0079,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,1.0,0.8065,50212,Payload,Commercial Communications,4500.0,Box + 2 Pan,KRITIK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 6A,TURKSAT 5B,aktif_uydular,39.07,0.004,823.28,35.9,-787.38,0.004,-3.17,0.078,0.0005,42164.7154,35771.4229,35816.0079,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,1.0,0.8065,50212,Payload,Commercial Communications,4500.0,Box + 2 Pan,KRITIK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 1A,IRIDIUM 33 DEB,iridium_33_copleri,2916.18,4.4,3137.41,3500.21,362.8,6.564,584.02,86.3192,0.0005,7085.4193,710.7618,718.0768,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.7355,33773,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 2,IRIDIUM 33 DEB,iridium_33_copleri,2250.03,1.583,3411.6,2744.49,-667.11,3.296,494.46,86.3242,0.002,7030.8609,645.7085,674.0134,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.7355,33773,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 1A,IRIDIUM 33 DEB,iridium_33_copleri,423.81,1.744,3735.92,3313.2,-422.72,3.228,2889.39,86.3793,0.0005,7042.3239,667.8921,674.7556,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.7355,33773,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 1A,IRIDIUM 33 DEB,iridium_33_copleri,1161.72,3.031,3795.24,3001.81,-793.43,3.917,1840.08,86.3569,0.0011,7040.8627,662.0488,677.6767,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.7355,33773,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 1A,IRIDIUM 33 DEB,iridium_33_copleri,1634.5,1.111,3853.73,3885.55,31.82,3.781,2251.06,86.3827,0.0005,7082.8914,708.6793,715.1035,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.7355,33773,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 2,IRIDIUM 33 DEB,iridium_33_copleri,3985.33,3.795,3947.73,604.18,-3343.55,2.014,-3381.15,86.3237,0.0024,7047.4918,659.5891,693.3945,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.7355,33773,Payload Fragmentation Debris,,,,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 2,IRIDIUM 33 DEB,iridium_33_copleri,3535.56,3.95,3983.82,2030.74,-1953.08,2.425,-1504.82,86.3272,0.0026,7061.3347,672.0119,708.6574,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.7355,33773,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
IMECE,IRIDIUM 33 DEB,iridium_33_copleri,1415.86,1.563,4142.65,4392.89,250.24,4.337,2977.03,86.3733,0.0021,7086.93,700.9681,730.892,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.7355,33773,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 2,IRIDIUM 33 DEB,iridium_33_copleri,1036.07,4.656,4163.15,5524.42,1361.27,3.734,4488.35,86.358,0.0011,7049.0244,670.2846,685.7643,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.7355,33773,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
IMECE,IRIDIUM 33 DEB,iridium_33_copleri,6566.73,5.432,4300.72,2486.16,-1814.56,6.052,-4080.57,86.3192,0.0005,7085.4193,710.7618,718.0768,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.7355,33773,Payload Fragmentation Debris,,,,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
IMECE,IRIDIUM 33 DEB,iridium_33_copleri,6561.07,5.58,4317.79,1076.68,-3241.11,4.304,-5484.39,86.3651,0.0005,7009.9332,635.2305,642.6358,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.7355,33773,Payload Fragmentation Debris,,,,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
IMECE,IRIDIUM 33 DEB,iridium_33_copleri,1144.47,1.923,4561.19,4677.89,116.7,4.945,3533.41,86.3789,0.0026,7078.9491,689.8709,726.0274,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.7355,33773,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,6061.81,3.167,3180.67,945.9,-2234.77,7.026,-5115.91,73.9402,0.002,6736.6549,351.9229,379.3869,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,1608.49,6.016,3245.61,2333.08,-912.53,5.939,724.6,74.04,0.001,7071.6377,693.5972,707.6782,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,2421.29,6.007,3366.44,2675.62,-690.82,6.138,254.32,74.0178,0.0014,7052.9768,672.0892,691.8644,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,1708.74,3.284,3585.09,2123.68,-1461.41,4.356,414.94,74.0305,0.0012,7072.0582,692.337,709.7795,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 2,COSMOS 2251 DEB,cosmos_2251_copleri,2056.93,2.772,3721.38,3491.55,-229.83,4.233,1434.62,74.0414,0.0008,7040.618,664.3361,674.8999,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,4023.03,6.391,3920.43,2843.67,-1076.76,7.77,-1179.36,74.0129,0.0022,7068.2948,682.0605,712.5291,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,2833.46,14.949,4270.19,2053.71,-2216.48,14.427,-779.75,74.0347,0.0027,7154.3476,764.1775,802.5177,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,2339.08,3.972,4392.82,3788.43,-604.39,4.225,1449.35,74.0489,0.0089,7061.68,628.0761,753.2839,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,13809.89,1.357,4414.8,1339.03,-3075.77,14.832,-12470.86,74.0201,0.0087,7004.6325,572.7965,694.4684,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,4335.07,5.535,4517.11,5819.71,1302.6,6.196,1484.64,74.0305,0.0012,7072.0582,692.337,709.7795,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,2560.8,14.964,4570.37,2119.05,-2451.32,14.516,-441.75,74.0363,0.0028,7158.802,767.8848,807.7192,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,6051.38,14.98,4621.18,6211.88,1590.7,11.939,160.5,73.9299,0.0011,6882.6206,504.3181,518.923,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,3127.84,14.939,4625.07,859.21,-3765.86,14.7,-2268.63,74.0433,0.0107,7151.8372,704.4749,857.1995,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
